PSU2             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Power Level      | 0x0        | discrete   | 0x0880| na        | na        | na        | na        | na        | na        
P-STATE Throttle | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
System State     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN1 SYS         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN2 SYS         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN3 SYS         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN4 SYS         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN5 SYS         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN6 SYS         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN7 SYS         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN8 SYS         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN9 SYS         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN10 SYS        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN11 SYS        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN12 SYS        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN PSU1         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN PSU2         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Watchdog         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
CPU detection    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
ME               | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
iRMC request     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
I2C1             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C2             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C3             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C4             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C5             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C6             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C7             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
I2C8             | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Config backup    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
FAN7 SYS         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
FAN8 SYS         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
FAN9 SYS         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
FAN10 SYS        | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
PSU1 Power       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PSU2 Power       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Total Power      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Total Power Out  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Power Level      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
System Mgmt SW   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Local Monitor    | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Pwr Btn override | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
NMI              | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
System BIOS      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
iRMC             | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na    
